Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P.1,2P,2PA,2P.1,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,pre_pts
307,Zaza Pachulia,C,19,ORL,59,2,11.3,1.2,3.0,0.389,0.0,0.0,,1.2,3.0,0.389,0.389,1.0,1.5,0.644,1.2,1.8,2.9,0.2,0.4,0.2,0.6,1.5,3.3,6.2
309,Scott Padgett,PF,27,HOU,58,5,9.4,1.3,2.9,0.443,0.5,1.1,0.431,0.8,1.8,0.451,0.527,0.4,0.6,0.75,0.8,1.6,2.4,0.4,0.2,0.2,0.4,1.3,3.4,4.2
310,Milt Palacio,PG,25,TOR,59,13,20.5,1.8,5.1,0.349,0.1,0.4,0.154,1.7,4.6,0.368,0.356,0.8,1.2,0.662,0.3,1.5,1.7,3.1,0.7,0.2,1.5,1.5,4.4,5.8
311,Jannero Pargo,PG,24,TOT,31,1,15.5,2.6,6.4,0.407,0.7,2.0,0.355,1.9,4.4,0.431,0.462,0.7,0.9,0.852,0.3,0.9,1.2,2.3,0.4,0.2,1.5,1.6,6.7,6.4
312,Tony Parker,PG,21,SAS,75,75,34.4,5.6,12.6,0.447,0.8,2.7,0.312,4.8,10.0,0.483,0.48,2.5,3.6,0.702,0.6,2.6,3.2,5.5,0.8,0.1,2.4,2.0,14.7,16.6
314,Ruben Patterson,SF,28,POR,73,1,22.6,2.7,5.4,0.506,0.0,0.2,0.167,2.7,5.2,0.517,0.509,1.4,2.6,0.553,1.8,1.9,3.7,1.9,1.2,0.3,1.4,2.1,6.9,11.6
315,Sasha Pavlovic,SF,20,UTA,79,14,14.5,1.9,4.8,0.396,0.2,0.9,0.271,1.6,3.9,0.425,0.422,0.8,1.1,0.774,0.6,1.5,2.0,0.8,0.5,0.2,0.8,2.4,4.8,4.8
316,Gary Payton*,PG,35,LAL,82,82,34.5,5.9,12.5,0.471,0.7,2.0,0.333,5.2,10.5,0.497,0.498,2.2,3.1,0.714,0.9,3.3,4.2,5.5,1.2,0.2,1.8,2.1,14.6,11.3
317,Anthony Peeler,SG,34,SAC,75,0,18.5,2.1,4.6,0.448,0.9,1.9,0.482,1.2,2.8,0.425,0.546,0.7,0.8,0.836,0.4,1.6,2.0,1.6,0.7,0.1,1.0,1.4,5.7,3.8
319,Kirk Penney,SG,23,MIA,2,0,9.0,0.5,3.0,0.167,0.5,1.5,0.333,0.0,1.5,0.0,0.25,0.0,0.0,,0.0,0.5,0.5,0.5,0.5,0.0,1.5,0.5,1.5,0.5
